PVSYST 8.0.21
,File,File date,Description
Project,gwn1kWp.PRJ,08/04/26 18h13,gen1kWp,
Geographical Site,Curacaví_MN82.SIT,08/04/26 18h13,Curacaví;Chile;South_America;,
Weather data,Curacaví_MN82_SYN.MET,08/04/26 18h13,Curacaví;Meteonorm 8.2 (2010-2019), Sat=100%;Synthetic,
Simulation variant,gwn1kWp.VC0,12/04/26 16h36,New simulation variant,
Simulation date,,12/04/26 16h45

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobHor,DiffHor,BeamHor,T_Amb,WindVel
    ,W/m²,W/m²,W/m²,°C,m/s

01/01/90 00:00,0,0,0,19.52,1.4
01/01/90 01:00,0,0,0,18.85,1.1001
01/01/90 02:00,0,0,0,18.46,1.1999
01/01/90 03:00,0,0,0,18.06,1.4
01/01/90 04:00,0,0,0,17.78,1
01/01/90 05:00,0.8049,0.8008,0.0041,17.74,1.2999
01/01/90 06:00,118.39,40.997,77.395,19.06,0.9
01/01/90 07:00,326.4,58.402,267.99,21.14,1.6001
01/01/90 08:00,549.8,72.698,477.1,23.61,1.5
01/01/90 09:00,756.1,97.397,658.71,26.12,3.4
01/01/90 10:00,917.3,132.5,784.8,28.45,3.1999
01/01/90 11:00,1024.2,163.1,861.11,30.48,3.4
01/01/90 12:00,1071.4,188.8,882.61,32.14,4.0999
01/01/90 13:00,1054.8,188.1,866.7,33.37,4.7
01/01/90 14:00,976.2,167.1,809.09,34.14,4.0999
01/01/90 15:00,844,132.4,711.6,34.46,5.7
01/01/90 16:00,662.7,98.998,563.7,34.28,4.4001
01/01/90 17:00,450.6,71.897,378.7,33.42,4.9001
01/01/90 18:00,229.4,57.201,172.2,32,3.4
01/01/90 19:00,17.493,17.493,0,30.15,3.0001
01/01/90 20:00,0,0,0,28.3,2.6001
01/01/90 21:00,0,0,0,26.45,1.6999
01/01/90 22:00,0,0,0,24.6,1.2999
01/01/90 23:00,0,0,0,22.76,1.1001
02/01/90 00:00,0,0,0,21.25,1.1999
02/01/90 01:00,0,0,0,19.62,2.1001
02/01/90 02:00,0,0,0,18.86,4.0999
02/01/90 03:00,0,0,0,18.04,3.5999
02/01/90 04:00,0,0,0,17.46,3.4
02/01/90 05:00,0.6976,0.6976,0,17.35,2.6001
02/01/90 06:00,109.39,43.501,65.893,18.4,3.0001
02/01/90 07:00,299.99,86.303,213.69,20,1.9
02/01/90 08:00,501.4,128.8,372.6,21.98,2.1999
02/01/90 09:00,692.89,185.2,507.69,24.01,2.4
02/01/90 10:00,846.2,251,595.2,25.91,3.1999
02/01/90 11:00,936.79,342,594.79,27.53,2.6001
02/01/90 12:00,932.2,383.4,548.8,28.7,4.0999
02/01/90 13:00,913,353.9,559.11,29.53,4.9001
02/01/90 14:00,857.81,295.7,562.11,30.04,3.5999
02/01/90 15:00,749,247.1,501.9,30.2,4.7
02/01/90 16:00,611.51,180.4,431.11,30.04,3.5999
02/01/90 17:00,414.4,131,283.4,29.28,3.9001
02/01/90 18:00,220.09,64.204,155.89,28.07,2.1001
02/01/90 19:00,19.103,19.101,0.002,26.47,1.5
02/01/90 20:00,0,0,0,24.74,1
02/01/90 21:00,0,0,0,23.01,0.7001
02/01/90 22:00,0,0,0,21.29,0.5
02/01/90 23:00,0,0,0,19.56,0.2001
03/01/90 00:00,0,0,0,18.7,0.2001
03/01/90 01:00,0,0,0,17.71,0.2001
03/01/90 02:00,0,0,0,17.17,0.4
03/01/90 03:00,0,0,0,16.63,0.2999
03/01/90 04:00,0,0,0,16.25,0.2001
03/01/90 05:00,0.6081,0.5967,0.0115,16.19,0.2001
03/01/90 06:00,128.19,33.303,94.89,17.58,0.2999
03/01/90 07:00,352.01,50.3,301.71,19.66,0.4
03/01/90 08:00,586.2,58.896,527.3,22.23,0.5
03/01/90 09:00,795.1,77,718.1,24.78,0.7001
03/01/90 10:00,961.1,100.4,860.7,27.15,1.4
03/01/90 11:00,1079.8,113.7,966.09,29.23,1.6001
03/01/90 12:00,1134,125.9,1008.1,30.95,2.1001
03/01/90 13:00,1119.1,123,996.1,32.22,1.9
03/01/90 14:00,1039.6,109.7,929.91,33.02,1.4
03/01/90 15:00,899.89,91.202,808.69,33.35,1.7999
03/01/90 16:00,713.3,68.6,644.7,33.19,3.1999
03/01/90 17:00,491.6,51.501,440.09,32.32,5.0999
03/01/90 18:00,257.8,102,155.8,30.85,4.7
03/01/90 19:00,17.797,17.797,0,28.89,2.8
03/01/90 20:00,0,0,0,26.81,2.4
03/01/90 21:00,0,0,0,24.72,2.8
03/01/90 22:00,0,0,0,22.64,2.4
03/01/90 23:00,0,0,0,20.55,2.6001
04/01/90 00:00,0,0,0,19.04,2.1999
04/01/90 01:00,0,0,0,17.4,2.1999
04/01/90 02:00,0,0,0,16.51,3.5999
04/01/90 03:00,0,0,0,15.62,4.4001
04/01/90 04:00,0,0,0,14.98,4.7
04/01/90 05:00,0.5008,0.5008,0,14.85,3.0001
04/01/90 06:00,128.41,33.798,94.611,16.11,1.9
04/01/90 07:00,359.4,56.596,302.8,18.11,1.6999
04/01/90 08:00,604,70.202,533.79,20.37,1.9
04/01/90 09:00,824.5,89.397,735.11,22.82,1.6999
04/01/90 10:00,1001.4,107.7,893.7,25.09,2.1999
04/01/90 11:00,1117.2,113.2,1004,27.06,2.0001
04/01/90 12:00,1172.2,122,1050.2,28.67,3.5999
04/01/90 13:00,1153.7,118.3,1035.4,29.83,2.1999
04/01/90 14:00,1070.2,108.3,961.89,30.54,1.7999
04/01/90 15:00,925.01,93.597,831.41,30.78,1.7999
04/01/90 16:00,727.09,71.803,655.29,30.52,2.0001
04/01/90 17:00,497.39,53.299,444.09,29.58,2.4
04/01/90 18:00,255.4,101.2,154.21,28.05,2.1001
04/01/90 19:00,16.706,16.699,0.0075,26.08,2.4
04/01/90 20:00,0,0,0,24.38,1.4
04/01/90 21:00,0,0,0,22.68,1.6999
04/01/90 22:00,0,0,0,20.98,1.6001
04/01/90 23:00,0,0,0,19.36,1.5
05/01/90 00:00,0,0,0,18.55,2.6001
05/01/90 01:00,0,0,0,17.7,3.4
05/01/90 02:00,0,0,0,17.24,3.4
05/01/90 03:00,0,0,0,16.78,2.6001
05/01/90 04:00,0,0,0,16.46,3.4
05/01/90 05:00,0.5008,0.5008,0,16.42,2.6001
05/01/90 06:00,96.892,47.003,49.889,17.47,3.4
05/01/90 07:00,227.2,151.6,75.598,18.78,2.4
05/01/90 08:00,379.3,286.2,93.104,20.26,2.4
05/01/90 09:00,558.8,327.5,231.29,22.09,2.1999
05/01/90 10:00,636.19,412.1,224.09,23.61,2.0001
05/01/90 11:00,784.4,434.1,350.3,25.2,2.1001
05/01/90 12:00,923.5,392.3,531.2,26.81,2.1001
05/01/90 13:00,840.4,423.7,416.71,27.82,3.4
05/01/90 14:00,851.3,322.3,529,28.65,3.1999
05/01/90 15:00,742.1,279.2,462.9,29.07,3.1999
05/01/90 16:00,553.9,251.1,302.8,29.02,4.7
05/01/90 17:00,372.1,179,193.1,28.39,5.4001
05/01/90 18:00,196.09,110.2,85.89,27.32,4.9001
05/01/90 19:00,23.7,23.7,0,25.9,2.4
05/01/90 20:00,0,0,0,24.25,3.4
05/01/90 21:00,0,0,0,22.6,3.4
05/01/90 22:00,0,0,0,20.95,2.8
05/01/90 23:00,0,0,0,19.38,3.1999
06/01/90 00:00,0,0,0,18.15,4.7
06/01/90 01:00,0,0,0,16.8,5.0999
06/01/90 02:00,0,0,0,16.08,5.7
06/01/90 03:00,0,0,0,15.36,5.6
06/01/90 04:00,0,0,0,14.84,4.0999
06/01/90 05:00,0.3935,0.3935,0,14.75,3.9001
06/01/90 06:00,110.7,38.696,72.004,15.86,4.0999
06/01/90 07:00,320.3,54.9,265.4,17.71,4.4001
06/01/90 08:00,547.1,63.999,483.1,19.8,4.4001
06/01/90 09:00,752.1,90.402,661.7,22.12,3.4
06/01/90 10:00,921.39,118.2,803.19,24.3,4.0999
06/01/90 11:00,1036.6,139.2,897.4,26.22,5.4001
06/01/90 12:00,1089.1,158.1,931,27.79,6.6
06/01/90 13:00,1071.5,162,909.5,28.94,7.3001
06/01/90 14:00,996.2,141.4,854.8,29.66,8.2001
06/01/90 15:00,857.9,119.4,738.49,29.92,6.9999
06/01/90 16:00,675.79,89.2,586.59,29.72,5.4001
06/01/90 17:00,462.41,64.4,398.01,28.87,2.8
06/01/90 18:00,238.39,102.4,136,27.47,2.4
06/01/90 19:00,18.495,18.495,0,25.65,1.5
06/01/90 20:00,0,0,0,23.88,1.5
06/01/90 21:00,0,0,0,22.11,0.9
06/01/90 22:00,0,0,0,20.34,0.9
06/01/90 23:00,0,0,0,18.71,0.6001
07/01/90 00:00,0,0,0,17.66,0.6001
07/01/90 01:00,0,0,0,16.52,0.4
07/01/90 02:00,0,0,0,15.91,0.6001
07/01/90 03:00,0,0,0,15.29,0.7001
07/01/90 04:00,0,0,0,14.85,0.6001
07/01/90 05:00,0.3041,0.2983,0.0057,14.77,0.5
07/01/90 06:00,108,44.396,63.603,15.9,0.4
07/01/90 07:00,314.5,55.803,258.7,17.77,0.5
07/01/90 08:00,536.1,70.696,465.4,19.88,0.5
07/01/90 09:00,737.2,103,634.2,22.22,0.7001
07/01/90 10:00,901.81,138.4,763.41,24.42,0.7999
07/01/90 11:00,1014.8,166.5,848.3,26.35,1.1001
07/01/90 12:00,1067.5,188.3,879.19,27.94,0.9
07/01/90 13:00,1051.5,192.7,858.8,29.12,1.5
07/01/90 14:00,981.49,162,819.49,29.86,1.6999
07/01/90 15:00,851.21,128.3,722.91,30.16,1.1999
07/01/90 16:00,677.71,87.897,589.81,30.03,1.4
07/01/90 17:00,465.2,62.398,402.8,29.22,1.5
07/01/90 18:00,242.79,101.8,140.99,27.86,1.6001
07/01/90 19:00,19.192,19.192,0,26.04,1.7999
07/01/90 20:00,0,0,0,24.29,1.4
07/01/90 21:00,0,0,0,22.53,1.5
07/01/90 22:00,0,0,0,20.78,1.4
07/01/90 23:00,0,0,0,19.13,1.4
08/01/90 00:00,0,0,0,18.02,1.1001
08/01/90 01:00,0,0,0,16.81,1.2999
08/01/90 02:00,0,0,0,16.16,1.6999
08/01/90 03:00,0,0,0,15.51,1.1999
08/01/90 04:00,0,0,0,15.04,0.6001
08/01/90 05:00,0.3041,0.2983,0.0057,14.95,0.4
08/01/90 06:00,99.092,42.496,56.596,15.96,0.2001
08/01/90 07:00,291.3,74.998,216.3,17.65,0.2999
08/01/90 08:00,502.79,106.4,396.39,19.55,0.5
08/01/90 09:00,691.1,166.8,524.31,21.69,0.7999
08/01/90 10:00,844.5,234,610.5,23.7,1.6999
08/01/90 11:00,923.2,349.4,573.8,25.37,2.4
08/01/90 12:00,957.9,335,622.9,26.7,3.5999
08/01/90 13:00,931.11,344.5,586.61,27.65,5.4001
08/01/90 14:00,884.6,272.2,612.4,28.27,4.4001
08/01/90 15:00,761.79,239,522.79,28.49,2.1999
08/01/90 16:00,607.2,187.5,419.7,28.32,4.0999
08/01/90 17:00,418.4,131.8,286.61,27.58,4.0999
08/01/90 18:00,214.6,102.7,111.9,26.33,3.4
08/01/90 19:00,18.996,18.996,0,24.7,2.4
08/01/90 20:00,0,0,0,23.01,2.1999
08/01/90 21:00,0,0,0,21.32,3.5999
08/01/90 22:00,0,0,0,19.62,3.9001
08/01/90 23:00,0,0,0,18.12,4.9001
09/01/90 00:00,0,0,0,17.08,3.4
09/01/90 01:00,0,0,0,15.95,4.4001
09/01/90 02:00,0,0,0,15.35,5.4001
09/01/90 03:00,0,0,0,14.74,4.9001
09/01/90 04:00,0,0,0,14.3,3.4
09/01/90 05:00,0.1968,0.1963,0.0005,14.22,2.6001
09/01/90 06:00,96.695,42.002,54.693,15.22,3.5999
09/01/90 07:00,288.99,74.103,214.89,16.94,3.9001
09/01/90 08:00,494.3,113.7,380.59,18.92,2.8
09/01/90 09:00,695,156.9,538.11,21.02,4.4001
09/01/90 10:00,845.3,228.9,616.41,23.09,5.0999
09/01/90 11:00,945,297.2,647.81,24.88,5.7
09/01/90 12:00,981.99,357.5,624.49,26.31,4.9001
09/01/90 13:00,973.3,349.7,623.6,27.39,4.0999
09/01/90 14:00,910.89,296.2,614.69,28.07,4.7
09/01/90 15:00,792.4,227,565.4,28.35,3.9001
09/01/90 16:00,640.7,138.2,502.5,28.26,4.0999
09/01/90 17:00,445.2,85,360.2,27.54,5.7
09/01/90 18:00,236.3,103,133.3,26.3,5.9001
09/01/90 19:00,20.802,20.797,0.0055,24.61,5.0999
09/01/90 20:00,0,0,0,22.92,4.4001
09/01/90 21:00,0,0,0,21.23,3.5999
09/01/90 22:00,0,0,0,19.54,2.8
09/01/90 23:00,0,0,0,18.04,3.0001
10/01/90 00:00,0,0,0,16.98,2.6001
10/01/90 01:00,0,0,0,15.82,4.0999
10/01/90 02:00,0,0,0,15.2,3.5999
10/01/90 03:00,0,0,0,14.58,2.8
10/01/90 04:00,0,0,0,14.14,2.4
10/01/90 05:00,0.1968,0.1963,0.0005,14.05,3.0001
10/01/90 06:00,100.9,43.203,57.696,15.1,2.4
10/01/90 07:00,303.7,56.502,247.2,16.93,2.1999
10/01/90 08:00,523.79,74.504,449.29,19.04,2.8
10/01/90 09:00,721.3,113.7,607.59,21.23,5.0999
10/01/90 10:00,882.7,157.6,725.11,23.39,6.8001
10/01/90 11:00,994.3,193.7,800.6,25.3,6.2
10/01/90 12:00,1048.7,216.9,831.79,26.87,7.6
10/01/90 13:00,1046.3,199.6,846.7,28.07,9.6001
10/01/90 14:00,973.8,174.6,799.2,28.83,11.3
10/01/90 15:00,852.1,128.4,723.7,29.16,11.3
10/01/90 16:00,677.29,89.797,587.5,29.06,9.6001
10/01/90 17:00,471.49,58.504,412.99,28.3,14.4
10/01/90 18:00,251.2,100.9,150.3,26.98,11.8
10/01/90 19:00,20.695,20.695,0,25.19,9.9
10/01/90 20:00,0,0,0,23.43,6.8001
10/01/90 21:00,0,0,0,21.67,4.7
10/01/90 22:00,0,0,0,19.91,4.4001
10/01/90 23:00,0,0,0,18.32,5.0999
11/01/90 00:00,0,0,0,17.2,4.4001
11/01/90 01:00,0,0,0,16,4.4001
11/01/90 02:00,0,0,0,15.35,5.7
11/01/90 03:00,0,0,0,14.7,4.9001
11/01/90 04:00,0,0,0,14.24,4.4001
11/01/90 05:00,0.1073,0.1021,0.0053,14.16,5.4001
11/01/90 06:00,102.4,35.101,67.3,15.23,5.0999
11/01/90 07:00,317.09,47.403,269.69,17.13,4.7
11/01/90 08:00,553,55.599,497.4,19.37,6.8001
11/01/90 09:00,768.61,75.297,693.31,21.75,7.3001
11/01/90 10:00,945.9,98.504,847.39,24.08,6.9999
11/01/90 11:00,1060.8,115.3,945.51,26.11,5.9999
11/01/90 12:00,1112.9,131.2,981.7,27.77,6.6
11/01/90 13:00,1101.9,129.5,972.41,29.02,4.4001
11/01/90 14:00,1023.6,116.6,907,29.8,8.2001
11/01/90 15:00,884.3,98.001,786.3,30.12,9.1
11/01/90 16:00,695.5,75.202,620.3,29.96,9.1
