Anio,Region,Comuna,Especie,Superficie (ha),Numero de arboles
2020,Región Metropolitana de Santiago,Alhué,Almendro,2.8600000000000003,1625
2020,Región Metropolitana de Santiago,Alhué,Cerezo,98.31,111391
2020,Región Metropolitana de Santiago,Alhué,Ciruelo Europeo,30.91,16058
2020,Región Metropolitana de Santiago,Alhué,Ciruelo Japonés,1.0,888
2020,Región Metropolitana de Santiago,Alhué,Duraznero Consumo Fresco,33.75,37521
2020,Región Metropolitana de Santiago,Alhué,Kiwi,81.64,82330
2020,Región Metropolitana de Santiago,Alhué,Manzano Rojo,15.09,24863
2020,Región Metropolitana de Santiago,Alhué,Manzano Verde,1.8599999999999999,3065
2020,Región Metropolitana de Santiago,Alhué,Nectarino,18.03,20035
2020,Región Metropolitana de Santiago,Alhué,Nogal,827.4499999999999,211242
2020,Región Metropolitana de Santiago,Alhué,Peral,10.33,17224
2020,Región Metropolitana de Santiago,Alhué,Pistacho,12.559999999999999,6280
2020,Región Metropolitana de Santiago,Alhué,Tuna,7.090000000000001,17725
2020,Región Metropolitana de Santiago,Alhué,Vid de Mesa,367.52,392963
2020,Región Metropolitana de Santiago,Buin,Almendro,167.38,64133
2020,Región Metropolitana de Santiago,Buin,Cerezo,821.53,820522
2020,Región Metropolitana de Santiago,Buin,Ciruelo Europeo,641.39,351819
2020,Región Metropolitana de Santiago,Buin,Ciruelo Japonés,165.93999999999994,139814
2020,Región Metropolitana de Santiago,Buin,Damasco,73.8,38103
2020,Región Metropolitana de Santiago,Buin,Duraznero Consumo Fresco,81.39,61645
2020,Región Metropolitana de Santiago,Buin,Duraznero Tipo Conservero,96.49,85615
2020,Región Metropolitana de Santiago,Buin,Kiwi,33.03,27505
2020,Región Metropolitana de Santiago,Buin,Limonero,1.28,800
2020,Región Metropolitana de Santiago,Buin,Mandarino,22.18,24647
2020,Región Metropolitana de Santiago,Buin,Manzano Rojo,20.24,33155
2020,Región Metropolitana de Santiago,Buin,Manzano Verde,2.26,3725
2020,Región Metropolitana de Santiago,Buin,Membrillo,19.939999999999998,12358
2020,Región Metropolitana de Santiago,Buin,Naranjo,24.65,22792
2020,Región Metropolitana de Santiago,Buin,Nectarino,218.23000000000005,198380
2020,Región Metropolitana de Santiago,Buin,Nogal,1559.49,403560
2020,Región Metropolitana de Santiago,Buin,Palto,12.059999999999999,3200
2020,Región Metropolitana de Santiago,Buin,Peral,86.25999999999999,108361
2020,Región Metropolitana de Santiago,Buin,Pluots,11.510000000000002,13287
2020,Región Metropolitana de Santiago,Buin,Vid de Mesa,1599.2799999999997,1921850
2020,Región Metropolitana de Santiago,Calera de Tango,Almendro,187.70999999999998,73856
2020,Región Metropolitana de Santiago,Calera de Tango,Caqui,0.65,541
2020,Región Metropolitana de Santiago,Calera de Tango,Cerezo,172.43,167334
2020,Región Metropolitana de Santiago,Calera de Tango,Ciruelo Europeo,69.35000000000001,43525
2020,Región Metropolitana de Santiago,Calera de Tango,Ciruelo Japonés,17.66,20075
2020,Región Metropolitana de Santiago,Calera de Tango,Damasco,3.21,1973
2020,Región Metropolitana de Santiago,Calera de Tango,Duraznero Consumo Fresco,90.18,101670
2020,Región Metropolitana de Santiago,Calera de Tango,Duraznero Tipo Conservero,20.77,14489
2020,Región Metropolitana de Santiago,Calera de Tango,Kiwi,32.9,14606
2020,Región Metropolitana de Santiago,Calera de Tango,Limonero,0.85,739
2020,Región Metropolitana de Santiago,Calera de Tango,Mandarino,10.99,9988
2020,Región Metropolitana de Santiago,Calera de Tango,Naranjo,7.25,7100
2020,Región Metropolitana de Santiago,Calera de Tango,Nectarino,136.45999999999998,172744
2020,Región Metropolitana de Santiago,Calera de Tango,Nogal,807.4800000000001,187969
2020,Región Metropolitana de Santiago,Calera de Tango,Palto,7.989999999999999,1880
2020,Región Metropolitana de Santiago,Calera de Tango,Peral,92.58,76206
2020,Región Metropolitana de Santiago,Calera de Tango,Pluots,12.989999999999998,9161
2020,Región Metropolitana de Santiago,Calera de Tango,Vid de Mesa,236.14000000000004,273480
2020,Región Metropolitana de Santiago,Cerro Navia,Nogal,33.169999999999995,6543
2020,Región Metropolitana de Santiago,Cerro Navia,Vid de Mesa,26.12,29023
2020,Región Metropolitana de Santiago,Colina,Almendro,68.30000000000001,28380
2020,Región Metropolitana de Santiago,Colina,Cerezo,84.82000000000001,76308
2020,Región Metropolitana de Santiago,Colina,Ciruelo Europeo,104.94999999999999,49290
2020,Región Metropolitana de Santiago,Colina,Ciruelo Japonés,6.1,8133
2020,Región Metropolitana de Santiago,Colina,Damasco,9.870000000000001,2741
2020,Región Metropolitana de Santiago,Colina,Duraznero Consumo Fresco,7.0,4667
2020,Región Metropolitana de Santiago,Colina,Duraznero Tipo Conservero,1.54,1026
2020,Región Metropolitana de Santiago,Colina,Kiwi,2.76,767
2020,Región Metropolitana de Santiago,Colina,Limonero,10.4,5777
2020,Región Metropolitana de Santiago,Colina,Mandarino,31.109999999999996,28455
2020,Región Metropolitana de Santiago,Colina,Naranjo,9.04,14525
2020,Región Metropolitana de Santiago,Colina,Nectarino,19.91,19032
2020,Región Metropolitana de Santiago,Colina,Nogal,624.01,164273
2020,Región Metropolitana de Santiago,Colina,Olivo,69.29,18193
2020,Región Metropolitana de Santiago,Colina,Vid de Mesa,972.02,1115634
2020,Región Metropolitana de Santiago,Curacaví,Almendro,216.02,84019
2020,Región Metropolitana de Santiago,Curacaví,Arándano Americano,46.08999999999999,232276
2020,Región Metropolitana de Santiago,Curacaví,Caqui,1.1800000000000002,748
2020,Región Metropolitana de Santiago,Curacaví,Cerezo,23.62,23749
2020,Región Metropolitana de Santiago,Curacaví,Ciruelo Europeo,25.4,12455
2020,Región Metropolitana de Santiago,Curacaví,Duraznero Consumo Fresco,4.32,5403
2020,Región Metropolitana de Santiago,Curacaví,Granado,4.89,3260
2020,Región Metropolitana de Santiago,Curacaví,Limonero,299.74,156585
2020,Región Metropolitana de Santiago,Curacaví,Mandarino,108.72999999999998,107967
2020,Región Metropolitana de Santiago,Curacaví,Naranjo,234.19,272115
2020,Región Metropolitana de Santiago,Curacaví,Nectarino,6.02,4765
2020,Región Metropolitana de Santiago,Curacaví,Nogal,112.32000000000001,25025
