trimestre,año,sst_total,anomalia,estado_enso
DJF,1950,24.72,-1.53,La Niña
JFM,1950,25.17,-1.34,La Niña
FMA,1950,25.75,-1.16,La Niña
MAM,1950,26.12,-1.18,La Niña
AMJ,1950,26.32,-1.07,La Niña
MJJ,1950,26.31,-0.85,La Niña
JJA,1950,26.21,-0.54,La Niña
JAS,1950,25.96,-0.42,Neutro
ASO,1950,25.76,-0.39,Neutro
SON,1950,25.63,-0.44,Neutro
OND,1950,25.48,-0.6,La Niña
NDJ,1950,25.34,-0.8,La Niña
DJF,1951,25.42,-0.82,La Niña
JFM,1951,25.96,-0.54,La Niña
FMA,1951,26.74,-0.17,Neutro
MAM,1951,27.48,0.18,Neutro
AMJ,1951,27.75,0.36,Neutro
MJJ,1951,27.75,0.58,El Niño
JJA,1951,27.44,0.7,El Niño
JAS,1951,27.28,0.89,El Niño
ASO,1951,27.14,0.99,El Niño
SON,1951,27.22,1.15,El Niño
OND,1951,27.12,1.04,El Niño
NDJ,1951,26.95,0.81,El Niño
DJF,1952,26.78,0.53,El Niño
JFM,1952,26.87,0.37,Neutro
FMA,1952,27.25,0.34,Neutro
MAM,1952,27.6,0.29,Neutro
AMJ,1952,27.59,0.2,Neutro
MJJ,1952,27.17,0.0,Neutro
JJA,1952,26.67,-0.08,Neutro
JAS,1952,26.39,0.0,Neutro
ASO,1952,26.3,0.15,Neutro
SON,1952,26.17,0.1,Neutro
OND,1952,26.13,0.04,Neutro
NDJ,1952,26.29,0.15,Neutro
DJF,1953,26.65,0.4,Neutro
JFM,1953,27.1,0.6,El Niño
FMA,1953,27.53,0.63,El Niño
MAM,1953,27.96,0.66,El Niño
AMJ,1953,28.14,0.75,El Niño
MJJ,1953,27.94,0.77,El Niño
JJA,1953,27.49,0.75,El Niño
JAS,1953,27.12,0.73,El Niño
ASO,1953,26.93,0.78,El Niño
SON,1953,26.91,0.84,El Niño
OND,1953,26.92,0.84,El Niño
NDJ,1953,26.95,0.81,El Niño
DJF,1954,27.0,0.76,El Niño
JFM,1954,26.97,0.47,Neutro
FMA,1954,26.86,-0.05,Neutro
MAM,1954,26.89,-0.41,Neutro
AMJ,1954,26.85,-0.54,La Niña
MJJ,1954,26.67,-0.5,La Niña
JJA,1954,26.1,-0.64,La Niña
JAS,1954,25.54,-0.84,La Niña
ASO,1954,25.25,-0.9,La Niña
SON,1954,25.3,-0.77,La Niña
OND,1954,25.35,-0.73,La Niña
NDJ,1954,25.48,-0.66,La Niña
DJF,1955,25.57,-0.68,La Niña
JFM,1955,25.89,-0.62,La Niña
FMA,1955,26.22,-0.69,La Niña
MAM,1955,26.5,-0.8,La Niña
AMJ,1955,26.6,-0.79,La Niña
MJJ,1955,26.45,-0.72,La Niña
JJA,1955,26.06,-0.68,La Niña
JAS,1955,25.64,-0.75,La Niña
ASO,1955,25.06,-1.09,La Niña
SON,1955,24.65,-1.42,La Niña
OND,1955,24.41,-1.67,La Niña
NDJ,1955,24.72,-1.47,La Niña
DJF,1956,25.23,-1.11,La Niña
JFM,1956,25.86,-0.76,La Niña
FMA,1956,26.37,-0.63,La Niña
MAM,1956,26.82,-0.54,La Niña
AMJ,1956,26.93,-0.52,La Niña
MJJ,1956,26.72,-0.51,La Niña
JJA,1956,26.23,-0.57,La Niña
JAS,1956,25.87,-0.55,La Niña
ASO,1956,25.71,-0.46,Neutro
SON,1956,25.67,-0.42,Neutro
OND,1956,25.67,-0.43,Neutro
NDJ,1956,25.77,-0.43,Neutro
DJF,1957,26.09,-0.25,Neutro
JFM,1957,26.68,0.06,Neutro
FMA,1957,27.41,0.41,Neutro
MAM,1957,28.08,0.72,El Niño
AMJ,1957,28.37,0.92,El Niño
MJJ,1957,28.34,1.11,El Niño
JJA,1957,28.06,1.25,El Niño
JAS,1957,27.75,1.32,El Niño
ASO,1957,27.5,1.33,El Niño
SON,1957,27.48,1.39,El Niño
OND,1957,27.64,1.53,El Niño
NDJ,1957,27.94,1.74,El Niño
DJF,1958,28.15,1.81,El Niño
JFM,1958,28.27,1.66,El Niño
FMA,1958,28.26,1.27,El Niño
MAM,1958,28.28,0.93,El Niño
AMJ,1958,28.19,0.74,El Niño
MJJ,1958,27.87,0.64,El Niño
JJA,1958,27.38,0.57,El Niño
JAS,1958,26.85,0.43,Neutro
ASO,1958,26.56,0.39,Neutro
SON,1958,26.53,0.44,Neutro
OND,1958,26.6,0.5,El Niño
NDJ,1958,26.81,0.61,El Niño
DJF,1959,26.95,0.61,El Niño
JFM,1959,27.24,0.62,El Niño
FMA,1959,27.51,0.52,El Niño
MAM,1959,27.68,0.33,Neutro
AMJ,1959,27.65,0.2,Neutro
MJJ,1959,27.16,-0.07,Neutro
JJA,1959,26.63,-0.18,Neutro
JAS,1959,26.15,-0.28,Neutro
ASO,1959,26.08,-0.09,Neutro
SON,1959,26.07,-0.03,Neutro
OND,1959,26.15,0.05,Neutro
NDJ,1959,26.16,-0.04,Neutro
DJF,1960,26.24,-0.1,Neutro
JFM,1960,26.51,-0.1,Neutro
FMA,1960,26.92,-0.07,Neutro
MAM,1960,27.39,0.03,Neutro
AMJ,1960,27.47,0.02,Neutro
MJJ,1960,27.26,0.03,Neutro
JJA,1960,26.93,0.13,Neutro
JAS,1960,26.66,0.24,Neutro
ASO,1960,26.44,0.27,Neutro
SON,1960,26.3,0.2,Neutro
OND,1960,26.23,0.12,Neutro
NDJ,1960,26.23,0.05,Neutro
DJF,1961,26.34,0.04,Neutro
JFM,1961,26.58,0.03,Neutro
FMA,1961,26.96,0.04,Neutro
MAM,1961,27.35,0.09,Neutro
AMJ,1961,27.59,0.23,Neutro
MJJ,1961,27.42,0.27,Neutro
JJA,1961,26.9,0.14,Neutro
JAS,1961,26.27,-0.13,Neutro
ASO,1961,25.89,-0.3,Neutro
SON,1961,25.85,-0.26,Neutro
OND,1961,25.91,-0.19,Neutro
NDJ,1961,26.0,-0.16,Neutro
DJF,1962,26.05,-0.24,Neutro
JFM,1962,26.32,-0.22,Neutro
FMA,1962,26.71,-0.2,Neutro
MAM,1962,27.0,-0.26,Neutro
AMJ,1962,27.09,-0.28,Neutro
MJJ,1962,26.96,-0.2,Neutro
JJA,1962,26.72,-0.04,Neutro
JAS,1962,26.34,-0.07,Neutro
ASO,1962,26.07,-0.11,Neutro
SON,1962,25.88,-0.22,Neutro
OND,1962,25.79,-0.31,Neutro
NDJ,1962,25.73,-0.43,Neutro
DJF,1963,25.89,-0.4,Neutro
JFM,1963,26.39,-0.15,Neutro
FMA,1963,27.07,0.15,Neutro
MAM,1963,27.53,0.27,Neutro
AMJ,1963,27.68,0.31,Neutro
MJJ,1963,27.67,0.52,El Niño
JJA,1963,27.62,0.86,El Niño
JAS,1963,27.54,1.14,El Niño
ASO,1963,27.4,1.22,El Niño
SON,1963,27.4,1.29,El Niño
OND,1963,27.47,1.37,El Niño
NDJ,1963,27.47,1.31,El Niño
DJF,1964,27.36,1.07,El Niño
JFM,1964,27.16,0.62,El Niño
FMA,1964,27.03,0.12,Neutro
MAM,1964,26.93,-0.33,Neutro
AMJ,1964,26.78,-0.58,La Niña
MJJ,1964,26.57,-0.58,La Niña
JJA,1964,26.16,-0.6,La Niña
JAS,1964,25.74,-0.66,La Niña
ASO,1964,25.42,-0.76,La Niña
SON,1964,25.31,-0.8,La Niña
OND,1964,25.28,-0.82,La Niña
NDJ,1964,25.38,-0.78,La Niña
DJF,1965,25.69,-0.59,La Niña
JFM,1965,26.27,-0.28,Neutro
FMA,1965,26.85,-0.07,Neutro
MAM,1965,27.44,0.18,Neutro
AMJ,1965,27.82,0.46,Neutro
MJJ,1965,27.99,0.83,El Niño
JJA,1965,27.98,1.22,El Niño
JAS,1965,27.95,1.54,El Niño
ASO,1965,28.04,1.85,El Niño
SON,1965,28.09,1.98,El Niño
OND,1965,28.07,1.97,El Niño
NDJ,1965,27.91,1.72,El Niño
DJF,1966,27.72,1.37,El Niño
JFM,1966,27.81,1.17,El Niño
FMA,1966,27.98,0.98,El Niño
MAM,1966,27.97,0.66,El Niño
AMJ,1966,27.78,0.35,Neutro
MJJ,1966,27.5,0.24,Neutro
JJA,1966,27.14,0.24,Neutro
JAS,1966,26.69,0.12,Neutro
ASO,1966,26.32,-0.05,Neutro
SON,1966,26.24,-0.1,Neutro
OND,1966,26.16,-0.18,Neutro
NDJ,1966,26.04,-0.3,Neutro
DJF,1967,26.01,-0.41,Neutro
JFM,1967,26.17,-0.48,Neutro
FMA,1967,26.46,-0.53,La Niña
MAM,1967,26.87,-0.45,Neutro
AMJ,1967,27.19,-0.24,Neutro
