"Anio","Mes","Fecha precio vigente","ID region","Region","Comuna","Poder comprador","Sucursal","Variedad","Precio","Grado brix","Fecha proximo precio","Proximo precio","Observaciones"
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Franc","480","18","2025-04-07","480",""
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Cabernet Sauvignon","500","13","2025-04-09","500",""
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Malbec","488","13","2025-04-09","488",""
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Merlot (t)","500","13","2025-04-09","500","mínimo garantizado sin grados brix. "
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Pinot Gris","348","13","2025-04-09","348",""
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Pinot Gris","329","13","2025-04-09","329","precio mínimo garantizado sin grados brix. "
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Pinot negro (Noir)","344","13","2025-04-09","344","mínimo garantizado sin grados brix "
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Riesling","500","12","2025-04-09","500",""
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Riesling","348","13","2025-04-09","348","mínimo garantizado sin grados brix. "
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Sauvignon Blanc (Fumé)","348","12","2025-04-09","348","mínimo garantizado sin grados brix. "
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Sauvignon Vert (Friulano)","406","13","2025-04-09","406",""
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Sauvignon Vert (Friulano)","348","12","2025-04-09","348","mínimo garantizado sin grados brix "
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Syrah (Sirah)","500","13","2025-04-09","500",""
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Syrah (Sirah)","416","13","2025-04-09","416","mínimo garantizado sin grados brix. "
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Tintoreras","250","12","2025-04-09","250",""
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Viognier","348","13","2025-04-09","348",""
"2025","4","2025-04-04","5","Región de Valparaíso","Casablanca","Viña Indomita ","Ruta 68, kilómetro 64","Viognier","329","12","2025-04-09","329","mínimo garantizado sin grados brix. "
