comuna_id,nombre_comuna,nombre_region,total_clientes,potencia_total_kw,potencia_promedio_kw
10101,Puerto Montt,Region de Los Lagos,127105,937262.611,7.373924007710161
10102,Calbuco,Region de Los Lagos,16638,151621.528,9.11296598148816
10103,Cochamo,Region de Los Lagos,2224,12774.16,5.743776978417266
10104,Fresia,Region de Los Lagos,6337,35050.14,5.531030456051759
10105,Frutillar,Region de Los Lagos,11869,83567.48300000001,7.040819192855338
10106,Los Muermos,Region de Los Lagos,8397,46600.869999999995,5.549704656424913
10107,Llanquihue,Region de Los Lagos,7759,56624.86,7.297958499806676
10108,Maullin,Region de Los Lagos,8036,46938.24,5.840995520159283
10109,Puerto Varas,Region de Los Lagos,30312,237815.149,7.845577626022697
10201,Castro,Region de Los Lagos,25438,171790.566,6.753304740938753
10202,Ancud,Region de Los Lagos,22647,140457.028,6.202014748090255
10203,Chonchi,Region de Los Lagos,8896,67429.68,7.579775179856115
10204,Curaco de Velez,Region de Los Lagos,2361,12971.49,5.494066073697586
10205,Dalcahue,Region de Los Lagos,8606,61210.18,7.112500580990007
10206,Puqueldon,Region de Los Lagos,2259,12119.62,5.365037627268704
10207,Queilen,Region de Los Lagos,3547,18408.35,5.18983648153369
10208,Quellon,Region de Los Lagos,13298,93400.905,7.023680628665964
10209,Quemchi,Region de Los Lagos,4127,28626.77,6.936459898231161
10210,Quinchao,Region de Los Lagos,3022,16656.91,5.5118828590337525
10301,Osorno,Region de Los Lagos,78151,560778.1020000001,7.175571675346446
10302,Puerto Octay,Region de Los Lagos,4684,37256.377,7.953966054654142
10303,Purranque,Region de Los Lagos,9121,69198.442,7.58671658809341
10304,Puyehue,Region de Los Lagos,6285,46546.51,7.405968178202069
10305,Rio Negro,Region de Los Lagos,6666,48265.61,7.240565556555656
10306,San Juan de la Costa,Region de Los Lagos,6475,33062.75,5.106216216216216
10307,San Pablo,Region de Los Lagos,5266,38117.687000000005,7.238451766046336
10401,Chaiten,Region de Los Lagos,1809,9282.549,5.131315091210614
10402,Futaleufu,Region de Los Lagos,1896,11409.416,6.017624472573839
10403,Hualaihue,Region de Los Lagos,5367,30625.35,5.70623253214086
10404,Palena,Region de Los Lagos,1351,8067.348,5.97139008142117
1101,Iquique,Region de Tarapaca,70462,488385.29,6.931186880871959
1107,Alto Hospicio,Region de Tarapaca,37820,209543.75,5.540553939714437
11101,Coihaique,Region de Aysén del Gral. Carlos Ibañez del Campo,30237,194943.644,6.447188676125277
11102,Lago Verde,Region de Aysén del Gral. Carlos Ibañez del Campo,237,1434.49,6.052700421940928
11201,Aysén,Region de Aysén del Gral. Carlos Ibañez del Campo,12307,87076.986,7.075403103924596
11202,Cisnes,Region de Aysén del Gral. Carlos Ibañez del Campo,3061,18185.484,5.94102711532179
11301,Cochrane,Region de Aysén del Gral. Carlos Ibañez del Campo,2104,12700.528,6.036372623574144
11401,Chile Chico,Region de Aysén del Gral. Carlos Ibañez del Campo,3112,19361.872,6.221681233933162
11402,Rio Ibañez,Region de Aysén del Gral. Carlos Ibañez del Campo,1975,11184.77,5.663174683544304
12101,Punta Arenas,Region de Magallanes y de la Antartica Chilena,59723,431427.62,7.2238102573547875
12201,Cabo de Hornos,Region de Magallanes y de la Antartica Chilena,853,7998.4400000000005,9.3768347010551
12301,Porvenir,Region de Magallanes y de la Antartica Chilena,2777,26531.38,9.553971912135399
12401,Natales,Region de Magallanes y de la Antartica Chilena,11636,100746.55,8.65817720866277
12402,Torres del Paine,Region de Magallanes y de la Antartica Chilena,123,791.0,6.430894308943089
13101,Santiago,Region Metropolitana de Santiago,273546,2636588.25,9.638555306968481
13102,Cerrillos,Region Metropolitana de Santiago,30417,286720.05,9.426309300719991
13103,Cerro Navia,Region Metropolitana de Santiago,33569,140308.39,4.179701212428133
13104,Conchali,Region Metropolitana de Santiago,36806,207949.1,5.649869586480465
13105,El Bosque,Region Metropolitana de Santiago,47117,210766.59,4.473259969862258
13106,Estacion Central,Region Metropolitana de Santiago,74495,608707.35,8.171116853480099
13107,Huechuraba,Region Metropolitana de Santiago,32818,345090.5,10.515281248095558
13108,Independencia,Region Metropolitana de Santiago,47950,413708.74,8.627919499478624
13109,La Cisterna,Region Metropolitana de Santiago,46528,324198.59,6.967817013411279
13110,La Florida,Region Metropolitana de Santiago,144495,818961.72,5.6677512716703
13111,La Granja,Region Metropolitana de Santiago,32255,138031.78,4.27939172221361
13112,La Pintana,Region Metropolitana de Santiago,54358,275327.74,5.065082232606056
13113,La Reina,Region Metropolitana de Santiago,33683,265405.77,7.879516967016003
13114,Las Condes,Region Metropolitana de Santiago,149369,1682468.31,11.26383861443807
13115,Lo Barnechea,Region Metropolitana de Santiago,37518,433817.11,11.562906071752225
13116,Lo Espejo,Region Metropolitana de Santiago,24390,111596.76,4.575512915129151
13117,Lo Prado,Region Metropolitana de Santiago,26251,97957.97,3.7315900346653463
13118,Macul,Region Metropolitana de Santiago,53759,442913.9,8.238879071411299
13119,Maipu,Region Metropolitana de Santiago,169622,953786.5,5.623011755550577
13120,Ñuñoa,Region Metropolitana de Santiago,135686,1074874.74,7.921780729036157
13121,Pedro Aguirre Cerda,Region Metropolitana de Santiago,28663,137902.04,4.811151658933119
13122,Peñalolen,Region Metropolitana de Santiago,68199,392147.6,5.750049120954852
13123,Providencia,Region Metropolitana de Santiago,102118,1045143.86,10.234668324879062
13124,Pudahuel,Region Metropolitana de Santiago,71044,630245.32,8.87119700467316
13125,Quilicura,Region Metropolitana de Santiago,69355,813918.7599999999,11.735545526638308
13126,Quinta Normal,Region Metropolitana de Santiago,45644,333104.71,7.297886031022698
13127,Recoleta,Region Metropolitana de Santiago,50455,337587.81,6.69086928946586
13128,Renca,Region Metropolitana de Santiago,46211,372805.3,8.067457964553894
13129,San Joaquin,Region Metropolitana de Santiago,34992,259057.6,7.403337905807041
13130,San Miguel,Region Metropolitana de Santiago,68220,554727.82,8.131454412195836
13131,San Ramon,Region Metropolitana de Santiago,20570,82988.55,4.034445794846865
13132,Vitacura,Region Metropolitana de Santiago,43406,552943.29,12.738867668064323
13201,Puente Alto,Region Metropolitana de Santiago,192893,924954.4900000001,4.795168772324554
13202,Pirque,Region Metropolitana de Santiago,9292,74696.87,8.038836633663365
13203,San Jose de Maipo,Region Metropolitana de Santiago,6036,37399.03,6.195995692511597
13301,Colina,Region Metropolitana de Santiago,58331,601355.95,10.309371517717851
13302,Lampa,Region Metropolitana de Santiago,47049,554829.62,11.792591128398053
13303,Tiltil,Region Metropolitana de Santiago,8271,125345.42,15.154808366582033
13401,San Bernardo,Region Metropolitana de Santiago,102341,816500.16,7.978231207433971
13402,Buin,Region Metropolitana de Santiago,42886,329944.73,7.693530056428671
13403,Calera de Tango,Region Metropolitana de Santiago,6531,61391.25,9.39997703261369
13404,Paine,Region Metropolitana de Santiago,26891,230857.86000000002,8.584948867650887
13501,Melipilla,Region Metropolitana de Santiago,53806,361106.66000000003,6.71127123369141
13502,ALHUÉ,Region Metropolitana de Santiago,3332,38101.799999999996,11.435114045618246
